exam_id,url,title,question_id
18,https://www.examtopics.com/discussions/amazon/view/150828-exam-aws-certified-ai-practitioner-aif-c01-topic-1-question/,Exam AWS Certified AI Practitioner AIF-C01 topic 1 question 49 discussion,49
25,https://www.examtopics.com/discussions/amazon/view/150829-exam-aws-certified-ai-practitioner-aif-c01-topic-1-question/,Exam AWS Certified AI Practitioner AIF-C01 topic 1 question 50 discussion,50
25,https://www.examtopics.com/discussions/amazon/view/151350-exam-aws-certified-ai-practitioner-aif-c01-topic-1-question/,Exam AWS Certified AI Practitioner AIF-C01 topic 1 question 51 discussion,51
24,https://www.examtopics.com/discussions/amazon/view/151742-exam-aws-certified-ai-practitioner-aif-c01-topic-1-question/,Exam AWS Certified AI Practitioner AIF-C01 topic 1 question 52 discussion,52
24,https://www.examtopics.com/discussions/amazon/view/150830-exam-aws-certified-ai-practitioner-aif-c01-topic-1-question/,Exam AWS Certified AI Practitioner AIF-C01 topic 1 question 53 discussion,53
24,https://www.examtopics.com/discussions/amazon/view/151080-exam-aws-certified-ai-practitioner-aif-c01-topic-1-question/,Exam AWS Certified AI Practitioner AIF-C01 topic 1 question 54 discussion,54
24,https://www.examtopics.com/discussions/amazon/view/150876-exam-aws-certified-ai-practitioner-aif-c01-topic-1-question/,Exam AWS Certified AI Practitioner AIF-C01 topic 1 question 55 discussion,55
24,https://www.examtopics.com/discussions/amazon/view/151047-exam-aws-certified-ai-practitioner-aif-c01-topic-1-question/,Exam AWS Certified AI Practitioner AIF-C01 topic 1 question 56 discussion,56
21,https://www.examtopics.com/discussions/amazon/view/151142-exam-aws-certified-ai-practitioner-aif-c01-topic-1-question/,Exam AWS Certified AI Practitioner AIF-C01 topic 1 question 57 discussion,57
24,https://www.examtopics.com/discussions/amazon/view/152501-exam-aws-certified-ai-practitioner-aif-c01-topic-1-question/,Exam AWS Certified AI Practitioner AIF-C01 topic 1 question 58 discussion,58
24,https://www.examtopics.com/discussions/amazon/view/150995-exam-aws-certified-ai-practitioner-aif-c01-topic-1-question/,Exam AWS Certified AI Practitioner AIF-C01 topic 1 question 59 discussion,59
24,https://www.examtopics.com/discussions/amazon/view/150996-exam-aws-certified-ai-practitioner-aif-c01-topic-1-question/,Exam AWS Certified AI Practitioner AIF-C01 topic 1 question 60 discussion,60
24,https://www.examtopics.com/discussions/amazon/view/151144-exam-aws-certified-ai-practitioner-aif-c01-topic-1-question/,Exam AWS Certified AI Practitioner AIF-C01 topic 1 question 61 discussion,61
21,https://www.examtopics.com/discussions/amazon/view/151124-exam-aws-certified-ai-practitioner-aif-c01-topic-1-question/,Exam AWS Certified AI Practitioner AIF-C01 topic 1 question 62 discussion,62
24,https://www.examtopics.com/discussions/amazon/view/151750-exam-aws-certified-ai-practitioner-aif-c01-topic-1-question/,Exam AWS Certified AI Practitioner AIF-C01 topic 1 question 63 discussion,63
20,https://www.examtopics.com/discussions/amazon/view/151048-exam-aws-certified-ai-practitioner-aif-c01-topic-1-question/,Exam AWS Certified AI Practitioner AIF-C01 topic 1 question 64 discussion,64
24,https://www.examtopics.com/discussions/amazon/view/150997-exam-aws-certified-ai-practitioner-aif-c01-topic-1-question/,Exam AWS Certified AI Practitioner AIF-C01 topic 1 question 65 discussion,65
24,https://www.examtopics.com/discussions/amazon/view/151076-exam-aws-certified-ai-practitioner-aif-c01-topic-1-question/,Exam AWS Certified AI Practitioner AIF-C01 topic 1 question 66 discussion,66
24,https://www.examtopics.com/discussions/amazon/view/151077-exam-aws-certified-ai-practitioner-aif-c01-topic-1-question/,Exam AWS Certified AI Practitioner AIF-C01 topic 1 question 67 discussion,67
24,https://www.examtopics.com/discussions/amazon/view/151354-exam-aws-certified-ai-practitioner-aif-c01-topic-1-question/,Exam AWS Certified AI Practitioner AIF-C01 topic 1 question 68 discussion,68
24,https://www.examtopics.com/discussions/amazon/view/151078-exam-aws-certified-ai-practitioner-aif-c01-topic-1-question/,Exam AWS Certified AI Practitioner AIF-C01 topic 1 question 69 discussion,69
24,https://www.examtopics.com/discussions/amazon/view/151147-exam-aws-certified-ai-practitioner-aif-c01-topic-1-question/,Exam AWS Certified AI Practitioner AIF-C01 topic 1 question 70 discussion,70
18,https://www.examtopics.com/discussions/amazon/view/151079-exam-aws-certified-ai-practitioner-aif-c01-topic-1-question/,Exam AWS Certified AI Practitioner AIF-C01 topic 1 question 71 discussion,71
24,https://www.examtopics.com/discussions/amazon/view/150982-exam-aws-certified-ai-practitioner-aif-c01-topic-1-question/,Exam AWS Certified AI Practitioner AIF-C01 topic 1 question 72 discussion,72
24,https://www.examtopics.com/discussions/amazon/view/150983-exam-aws-certified-ai-practitioner-aif-c01-topic-1-question/,Exam AWS Certified AI Practitioner AIF-C01 topic 1 question 73 discussion,73
24,https://www.examtopics.com/discussions/amazon/view/151150-exam-aws-certified-ai-practitioner-aif-c01-topic-1-question/,Exam AWS Certified AI Practitioner AIF-C01 topic 1 question 74 discussion,74
23,https://www.examtopics.com/discussions/amazon/view/151658-exam-aws-certified-ai-practitioner-aif-c01-topic-1-question/,Exam AWS Certified AI Practitioner AIF-C01 topic 1 question 75 discussion,75
23,https://www.examtopics.com/discussions/amazon/view/151151-exam-aws-certified-ai-practitioner-aif-c01-topic-1-question/,Exam AWS Certified AI Practitioner AIF-C01 topic 1 question 76 discussion,76
23,https://www.examtopics.com/discussions/amazon/view/151856-exam-aws-certified-ai-practitioner-aif-c01-topic-1-question/,Exam AWS Certified AI Practitioner AIF-C01 topic 1 question 77 discussion,77
23,https://www.examtopics.com/discussions/amazon/view/152544-exam-aws-certified-ai-practitioner-aif-c01-topic-1-question/,Exam AWS Certified AI Practitioner AIF-C01 topic 1 question 78 discussion,78
23,https://www.examtopics.com/discussions/amazon/view/152546-exam-aws-certified-ai-practitioner-aif-c01-topic-1-question/,Exam AWS Certified AI Practitioner AIF-C01 topic 1 question 79 discussion,79
23,https://www.examtopics.com/discussions/amazon/view/151660-exam-aws-certified-ai-practitioner-aif-c01-topic-1-question/,Exam AWS Certified AI Practitioner AIF-C01 topic 1 question 80 discussion,80
23,https://www.examtopics.com/discussions/amazon/view/152545-exam-aws-certified-ai-practitioner-aif-c01-topic-1-question/,Exam AWS Certified AI Practitioner AIF-C01 topic 1 question 81 discussion,81
23,https://www.examtopics.com/discussions/amazon/view/151661-exam-aws-certified-ai-practitioner-aif-c01-topic-1-question/,Exam AWS Certified AI Practitioner AIF-C01 topic 1 question 82 discussion,82
23,https://www.examtopics.com/discussions/amazon/view/151662-exam-aws-certified-ai-practitioner-aif-c01-topic-1-question/,Exam AWS Certified AI Practitioner AIF-C01 topic 1 question 83 discussion,83
23,https://www.examtopics.com/discussions/amazon/view/152547-exam-aws-certified-ai-practitioner-aif-c01-topic-1-question/,Exam AWS Certified AI Practitioner AIF-C01 topic 1 question 84 discussion,84
23,https://www.examtopics.com/discussions/amazon/view/151663-exam-aws-certified-ai-practitioner-aif-c01-topic-1-question/,Exam AWS Certified AI Practitioner AIF-C01 topic 1 question 85 discussion,85
13,https://www.examtopics.com/discussions/amazon/view/153534-exam-aws-certified-ai-practitioner-aif-c01-topic-1-question/,Exam AWS Certified AI Practitioner AIF-C01 topic 1 question 86 discussion,86
23,https://www.examtopics.com/discussions/amazon/view/153535-exam-aws-certified-ai-practitioner-aif-c01-topic-1-question/,Exam AWS Certified AI Practitioner AIF-C01 topic 1 question 87 discussion,87
23,https://www.examtopics.com/discussions/amazon/view/153464-exam-aws-certified-ai-practitioner-aif-c01-topic-1-question/,Exam AWS Certified AI Practitioner AIF-C01 topic 1 question 88 discussion,88
23,https://www.examtopics.com/discussions/amazon/view/153465-exam-aws-certified-ai-practitioner-aif-c01-topic-1-question/,Exam AWS Certified AI Practitioner AIF-C01 topic 1 question 89 discussion,89
23,https://www.examtopics.com/discussions/amazon/view/153538-exam-aws-certified-ai-practitioner-aif-c01-topic-1-question/,Exam AWS Certified AI Practitioner AIF-C01 topic 1 question 90 discussion,90
13,https://www.examtopics.com/discussions/amazon/view/153539-exam-aws-certified-ai-practitioner-aif-c01-topic-1-question/,Exam AWS Certified AI Practitioner AIF-C01 topic 1 question 91 discussion,91
